District,Cook,Real Clear Politics
Alaska at-large,Safe R,Likely R
Arizona 1,Tossup,Tossup
Arizona 2,Tossup,Tossup
Arizona 9,Lean D,Likely D
Arkansas 2,Tossup,Tossup
Arkansas 4,Lean R,Lean R
California 3,Likely D,Likely D
California 7,Tossup,Tossup
California 9,Safe D,Likely D
California 21,Lean R,Lean R
California 24,Likely D,Likely D
California 26,Tossup,Tossup
California 31,Lean D,Lean D
California 36,Lean D,Lean D
California 52,Tossup,Tossup
Colorado 6,Lean R,Tossup
Connecticut 5,Likely D,Likely D
Florida 2,Tossup,Tossup
Florida 18,Likely D,Lean D
Florida 26,Tossup,Tossup
Georgia 12,Tossup,Tossup
Hawaii 1,Lean D,Tossup
Illinois 8,Likely D,Safe D
Illinois 10,Tossup,Tossup
Illinois 11,Likely D,Lean D
Illinois 12,Tossup,Tossup
Illinois 13,Likely R,Lean R
Illinois 17,Lean D,Lean D
Indiana 2,Safe R,Likely R
Iowa 1,Tossup,Tossup
Iowa 2,Lean D,Lean D
Iowa 3,Tossup,Tossup
Iowa 4,Safe R,Likely R
Kansas 2,Likely R,Likely R
Kansas 3,Likely R,Likely R
Maine 2,Lean D,Tossup
Maryland 6,Likely D,Likely D
Massachusetts 6,Lean D,Lean D
Massachusetts 9,Likely D,Lean D
Michigan 1,Likely R,Lean R
Michigan 4,Safe R,Likely R
Michigan 6,Likely R,Safe R
Michigan 7,Safe R,Likely R
Michigan 8,Safe R,Likely R
Michigan 11,Likely R,Safe R
Minnesota 1,Likely D,Safe D
Minnesota 7,Lean D,Lean D
Minnesota 8,Tossup,Tossup
Montana at-large,Likely R,Likely R
Nebraska 2,Tossup,Tossup
Nevada 3,Likely R,Likely R
Nevada 4,Lean D,Lean D
New Hampshire 1,Tossup,Tossup
New Hampshire 2,Lean D,Tossup
New Jersey 3,Lean R,Lean R
New Jersey 5,Likely R,Likely R
New York 1,Tossup,Tossup
New York 4,Likely D,Likely D
New York 11,Lean R,Tossup
New York 18,Tossup,Lean D
New York 19,Likely R,Likely R
New York 21,Likely R,Lean R
New York 23,Safe R,Likely R
New York 24,Tossup,Tossup
North Carolina 7,Likely R,Safe R
North Dakota at-large,Likely R,Safe R
Ohio 6,Safe R,Likely R
Ohio 14,Safe R,Likely R
Pennsylvania 6,Likely R,Likely R
Texas 23,Lean D,Lean D
Utah 4,Likely R,Safe R
Virginia 10,Lean R,Tossup
Washington 1,Likely D,Likely D
West Virginia 2,Tossup,Tossup
West Virginia 3,Tossup,Tossup
Wisconsin 6,Likely R,Likely R
Wisconsin 7,,
